大众 朗行 2013款 1.6L 自动舒适型, 2014年,2.7万公里, 到店服务, 6.28万大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2015年,7.7万公里, 到店服务, 5.91万大众 宝来 2015款 质惠版 1.6L 自动舒适型, 2016年,4.0万公里, 到店服务, 6.49万大众 宝来 2011款 1.4T 手动舒适型, 2011年,9.2万公里, 到店服务, 3.26万日产 轩逸 2012款 1.6XL CVT豪华版, 2013年,9.8万公里, 到店服务, 5.64万哈弗H1 2016款 改款 蓝标 1.5L 手动舒适型, 2016年,3.8万公里, 到店服务, 3.52万别克 君威 2014款 2.0L 精英时尚型, 2015年,5.1万公里, 到店服务, 7.56万菲亚特 菲翔 2017款 1.4T 自动悦享版, 2018年,0.8万公里, 到店服务, 5.75万别克GL8 2014款 2.4L 经典版, 2016年,8.1万公里, 到店服务, 9.10万丰田 YARiS L 致炫 2019款 1.5E CVT魅动版 国VI, 2019年,0.6万公里, 到店服务, 6.87万大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2015年,6.9万公里, 到店服务, 6.57万本田 缤智 2015款 1.8L CVT两驱豪华型, 2015年,7.7万公里, 到店服务, 9.40万大众 途观 2016款 300TSI 自动两驱风尚版, 2016年,8.0万公里, 到店服务, 11.91万大众 朗行 2013款 1.6L 自动舒适型, 2015年,3.8万公里, 到店服务, 6.47万起亚 智跑 2015款 2.0L 自动两驱版DLX, 2015年,6.3万公里, 到店服务, 7.91万别克 昂科威 2014款 28T 四驱豪华型, 2015年,5.6万公里, 到店服务, 12.63万中华H330 2013款 1.5L 自动豪华型, 2014年,6.6万公里, 到店服务, 2.96万宝马3系 2016款 316Li 时尚型, 2016年,5.8万公里, 到店服务, 17.10万荣威550 2014款 550S 1.8L 自动智选版, 2015年,3.4万公里, 到店服务, 4.56万日产 阳光 2015款 1.5XE CVT大师版, 2016年,4.7万公里, 到店服务, 5.12万本田 锋范经典 2008款 1.5L 自动精英版, 2011年,10.0万公里, 到店服务, 4.24万现代 朗动 2012款 1.6L 自动领先型, 2013年,7.2万公里, 到店服务, 5.10万别克 昂科拉 2014款 1.4T 自动两驱都市精英型, 2014年,4.0万公里, 到店服务, 6.10万大众 朗行 2013款 1.4TSI 自动舒适型, 2015年,9.8万公里, 到店服务, 6.78万现代 全新胜达 2013款 2.4L 自动两驱智能型, 2015年,7.7万公里, 到店服务, 9.66万现代 途胜 2013款 2.0L 自动两驱舒适型, 2016年,3.7万公里, 到店服务, 6.77万福特 翼搏 2013款 1.5L 自动风尚型, 2015年,4.8万公里, 到店服务, 5.19万日产 天籁 2013款 2.0L XL舒适版, 2013年,8.1万公里, 到店服务, 8.54万福特 福克斯 2017款 两厢 1.6L 自动舒适型智行版, 2017年,9.4万公里, 到店服务, 6.03万现代 途胜 2015款 1.6T 双离合两驱智能型, 2016年,5.6万公里, 到店服务, 9.63万本田 雅阁 2014款 2.0L LX 舒适版, 2014年,3.4万公里, 到店服务, 10.59万本田CR-V 2012款 2.0L 四驱经典版, 2012年,13.6万公里, 到店服务, 8.99万大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2017年,6.2万公里, 到店服务, 7.37万大众 速腾 2014款 1.4TSI 自动豪华型, 2014年,8.5万公里, 到店服务, 7.43万长安CS75 2014款 1.8T 自动精英型 国IV, 2015年,6.5万公里, 到店服务, 6.40万哈弗H6 2015款 运动版 1.5T 自动两驱豪华型, 2016年,6.3万公里, 到店服务, 5.81万大众 凌渡 2015款 230TSI 手动风尚版, 2016年,7.6万公里, 到店服务, 7.43万大众 速腾 2014款 1.4TSI 自动豪华型, 2014年,9.0万公里, 到店服务, 6.83万起亚K2 2012款 两厢 1.4L AT 炫酷纪念版, 2013年,4.8万公里, 到店服务, 4.36万马自达 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V, 2018年,4.5万公里, 到店服务, 8.73万大众 朗行 2013款 1.6L 自动舒适型, 2014年,2.7万公里, 到店服务, 6.28万
大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2015年,7.7万公里, 到店服务, 5.91万
雪佛兰 科鲁兹 2015款 1.5L 经典 SL MT, 2015年,5.1万公里, 到店服务, 3.94万
凯迪拉克ATS-L 2016款 28T 技术型, 2017年,2.0万公里, 到店服务, 15.16万
宝马5系 2014款 525Li 风尚设计套装, 2014年,6.6万公里, 到店服务, 22.98万
雪佛兰 科沃兹 2016款 1.5L 自动欣享版, 2017年,7.0万公里, 到店服务, 4.92万
日产 轩逸 2016款 经典 1.6XE 自动领先版, 2017年,3.9万公里, 到店服务, 7.26万
别克GL8 2014款 2.4L 经典版, 2015年,5.2万公里, 到店服务, 11.16万
奇瑞 瑞虎3 2015款 1.6L 手动智尚纪念版, 2016年,7.1万公里, 到店服务, 4.10万
别克 昂科威 2015款 20T 两驱精英型, 2015年,5.1万公里, 到店服务, 11.63万
大众 宝来 2011款 1.4T 手动舒适型, 2011年,15.6万公里, 到店服务, 3.91万
现代 途胜 2015款 1.6T 双离合两驱智能型, 2017年,5.6万公里, 到店服务, 10.51万
路虎 发现神行 2016款 2.0T HSE, 2016年,4.3万公里, 到店服务, 22.14万
日产 蓝鸟 2016款 1.6L CVT智酷版, 2016年,3.9万公里, 到店服务, 7.91万
现代 悦动 2017款 1.6L 自动悦值版GLS, 2018年,2.9万公里, 到店服务, 6.79万
日产 天籁 2016款 2.0L XL-Upper智尚版, 2016年,4.0万公里, 到店服务, 11.91万
奇瑞 艾瑞泽7 2013款 1.6L 手动致领版, 2014年,6.5万公里, 到店服务, 3.00万
大众 迈腾 2016款 1.8TSI 智享舒适型, 2016年,8.5万公里, 到店服务, 11.35万
起亚 智跑 2015款 2.0L 自动两驱版GLS, 2015年,5.6万公里, 到店服务, 8.19万
丰田 威驰 2017款 1.5L CVT创行版, 2017年,4.2万公里, 到店服务, 6.31万
奔驰E级 2012款 E 200 CGI Coupe(进口), 2013年,2.7万公里, 到店服务, 18.42万
宝骏560 2015款 1.8L 手动精英型, 2015年,6.8万公里, 到店服务, 4.56万
现代ix25 2015款 1.6L 手动两驱时尚型GS, 2016年,3.0万公里, 到店服务, 6.20万
福特 福睿斯 2015款 1.5L 手动舒适型, 2017年,6.3万公里, 到店服务, 4.72万
大众 速腾 2015款 230TSI 自动舒适型, 2016年,5.5万公里, 到店服务, 9.39万
福特 蒙迪欧 2013款 1.5L GTDi180时尚型, 2016年,7.7万公里, 到店服务, 12.08万
日产 轩逸 2018款 1.6XV CVT尊享版, 2018年,3.6万公里, 到店服务, 8.73万
大众 宝来 2016款 1.6L 手动舒适型, 2016年,4.1万公里, 到店服务, 6.49万
别克 君越 2016款 20T 精英型, 2017年,8.1万公里, 到店服务, 12.91万
宝马3系 2015款 320i 超悦版时尚型, 2015年,4.5万公里, 到店服务, 16.82万
金杯 海狮X30L 2018款 1.5L商务版DLCG14, 2018年,2.6万公里, 到店服务, 3.70万
本田 飞度 2018款 1.5L 手动舒适版, 2019年,0.9万公里, 到店服务, 6.59万
起亚 智跑 2018款 2.0L 自动智享豪华版 国V, 2018年,3.0万公里, 到店服务, 11.05万
吉利 帝豪 2016款 三厢 1.5L 手动豪华型, 2016年,4.9万公里, 到店服务, 3.63万
奥迪A4L 2016款 35 TFSI 典藏版 自动标准型, 2016年,3.2万公里, 到店服务, 17.38万
奔驰GLA级 2015款 GLA 200(进口), 2015年,5.4万公里, 到店服务, 15.05万
本田 飞度 2018款 1.5L CVT舒适版, 2018年,3.0万公里, 到店服务, 6.79万
凯迪拉克ATS-L 2016款 28T 技术型, 2016年,4.7万公里, 到店服务, 14.49万
奔驰E级 2018款 改款 E 200 L 运动型 4MATIC, 2018年,2.8万公里, 到店服务, 34.39万
起亚 智跑 2014款 2.0L 自动两驱版GLS, 2014年,9.8万公里, 到店服务, 7.15万
日产 轩逸 2014款 1.6XV CVT尊享版, 2015年,5.9万公里, 到店服务, 7.13万
现代 途胜 2015款 1.6T 双离合两驱智能型, 2017年,4.5万公里, 到店服务, 10.80万
大众 迈腾 2013款 2.0TSI 豪华型, 2014年,7.5万公里, 到店服务, 10.46万
日产 骊威 2010款 劲锐版 1.6L 自动标准型, 2012年,10.4万公里, 到店服务, 4.54万
斯柯达 明锐 2016款 1.6L 自动前行版, 2016年,10.8万公里, 到店服务, 6.05万
丰田 威驰 2016款 1.5L 自动智臻星耀版, 2016年,4.6万公里, 到店服务, 7.07万
本田 歌诗图 2012款 2.4L 豪华版, 2012年,10.7万公里, 到店服务, 10.59万
Jeep 指南者 2017款 200T 自动家享版, 2019年,1.0万公里, 到店服务, 11.91万
本田 艾力绅 2016款 2.4L 至尊版, 2016年,5.8万公里, 到店服务, 23.79万
别克 英朗 2018款 15T 双离合精英型 国V, 2018年,2.2万公里, 到店服务, 6.41万
大众 高尔夫 2014款 1.6L 自动舒适型, 2014年,9.0万公里, 到店服务, 8.28万
起亚K3 2016款 1.6L 手动GL, 2017年,4.8万公里, 到店服务, 5.58万
日产 蓝鸟 2018款 1.6L CVT炫酷潮音版, 2018年,2.3万公里, 到店服务, 8.36万
菲亚特 菲翔 2017款 1.4T 自动悦享版, 2017年,1.1万公里, 到店服务, 5.63万
大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2016年,8.6万公里, 到店服务, 6.22万
大众 高尔夫·嘉旅 2019款 280TSI 自动守望型 国V, 2019年,300公里, 店服务, 13.29万
五菱宏光PLUS 2019款 1.5T 手动豪华型 7座, 2019年,0.2万公里, 到店服务, 6.58万
大众CC 2012款 1.8TSI 豪华型, 2012年,3.6万公里, 到店服务, 11.80万
别克 威朗 2018款 三厢 15S 自动领先型, 2018年,2.5万公里, 到店服务, 9.19万
现代 名图 2014款 1.8L 自动智能型GLS, 2016年,9.7万公里, 到店服务, 8.16万
奔驰B级 2017款 B 200 时尚型(进口), 2018年,2.0万公里, 到店服务, 17.49万
丰田 YARiS L 致炫 2015款 1.5E 自动魅动版, 2016年,5.7万公里, 到店服务, 6.61万
奔驰C级 2016款 C 200 L 4MATIC 运动版, 2016年,5.2万公里, 到店服务, 24.18万
大众 高尔夫 2016款 1.6L 自动舒适型, 2017年,1.9万公里, 到店服务, 9.01万
本田XR-V 2017款 1.8L EXi CVT舒适版, 2018年,0.5万公里, 到店服务, 15.06万
起亚K3 2016款 1.6L 自动GL, 2018年,5.6万公里, 到店服务, 6.68万
大众 宝来 2018款 1.5L 自动舒适型, 2018年,1.6万公里, 到店服务, 8.54万
日产 骐达 2019款 1.6L CVT智行版 国VI, 2019年,0.8万公里, 到店服务, 8.84万
大众 途锐 2011款 3.0TSI 高配型(进口), 2014年,13.3万公里, 到店服务, 24.89万
丰田 RAV4 2019款 2.0L CVT两驱风尚X限量版 国V, 2019年,0.9万公里, 到店服务, 17.30万
本田 飞度 2018款 1.5L CVT舒适天窗版, 2018年,2.5万公里, 到店服务, 7.71万
三菱 欧蓝德 2018款 2.0L 两驱荣耀版 5座, 2018年,4.8万公里, 到店服务, 11.89万
大众 宝来 2018款 1.5L 自动舒适型, 2018年,2.4万公里, 到店服务, 8.36万
三菱 劲炫ASX 2013款 2.0L CVT两驱精英版, 2016年,6.8万公里, 到店服务, 6.96万
奇瑞 瑞虎3 2016款 1.6L CVT智尚版, 2018年,1.7万公里, 到店服务, 5.29万
奔驰GLC级 2017款 GLC 260 4MATIC 动感型, 2017年,1.8万公里, 到店服务, 32.55万
现代 领动 2016款 1.6L 自动智炫·精英型, 2017年,2.3万公里, 到店服务, 7.69万
斯柯达 明锐 2018款 TSI230 DSG舒适版, 2018年,3.6万公里, 到店服务, 8.08万
宝马3系 2017款 320Li 时尚型, 2017年,6.0万公里, 到店服务, 20.82万
丰田 雷凌 2018款 185T CVT豪华版, 2019年,0.8万公里, 到店服务, 9.29万
福特 福克斯 2013款 三厢经典 1.8L 自动基本型, 2014年,5.8万公里, 到店服务, 4.42万
奔驰C级 2011款 C 200 时尚旅行版(进口), 2012年,7.5万公里, 到店服务, 13.95万
传祺GS4 2017款 235T G-DCT两驱精英版, 2017年,5.6万公里, 到店服务, 7.26万
丰田 凯美瑞 2019款 2.5HS 锋尚版 国V, 2019年,1.8万公里, 到店服务, 22.96万
奥迪A6L 2019款 40 TFSI 豪华致雅型, 2019年,1.3万公里, 到店服务, 31.51万
领克03 2018款 1.5TD DCT型Pro版 国V, 2019年,1.7万公里, 到店服务, 11.43万
大众 凌渡 2018款 230TSI DSG风尚版, 2018年,3.0万公里, 到店服务, 10.22万
丰田 凯美瑞 2016款 2.0G 十周年纪念领先版, 2017年,4.3万公里, 到店服务, 13.89万
奥迪Q2L 2018款 35TFSI 时尚动感型 国V, 2019年,0.1万公里, 到店服务, 17.09万
东风风行 菱智 2016款 M3L 1.6L 7座舒适型, 2016年,4.5万公里, 到店服务, 4.03万
雷克萨斯NX 2017款 300 前驱 锋行版, 2017年,9.7万公里, 到店服务, 25.71万
别克 昂科拉 2015款 1.4T 自动两驱都市精英型, 2015年,7.7万公里, 到店服务, 6.40万
奔驰E级 2019款 改款 E 300 L 运动时尚型, 2019年,1.5万公里, 到店服务, 38.95万
五菱宏光S3 2018款 1.5T 手动舒适型 国V, 2018年,3.6万公里, 到店服务, 4.91万
奔驰GLA级 2016款 GLA 200 动感型, 2016年,5.0万公里, 到店服务, 16.74万
长安CS85 COUPE 2019款 1.5T DCT品版 国VI, 2020年,0.1万公里, 到店服务, 11.75万
哈弗H6 2018款 蓝标 运动版 1.5T 手动两驱精英型, 2017年,1.6万公里, 到店服务, 6.50万
现代ix35 2015款 2.0L 自动两驱舒适型 国IV, 2016年,6.3万公里, 到店服务, 8.64万
现代 全新胜达 2017款 2.4L 自动两驱智能型 5座, 2017年,4.5万公里, 到店服务, 12.63万
福特 福睿斯 2015款 1.5L 自动舒适型, 2015年,6.4万公里, 到店服务, 5.29万
Smart smart forfour 2016款 0.9T 66千瓦先锋版, 2017年,3.3万公里, 到店服务, 9.57万
林肯MKX 2017款 2.0T 两驱尊享版, 2019年,1.6万公里, 到店服务, 26.96万
福特 福克斯 2018款 两厢经典 1.6L 自动风尚型智行版, 2018年,1.2万公里, 到店服务, 7.80万
丰田 威驰 2014款 1.3L 自动型尚版, 2014年,8.9万公里, 到店服务, 4.45万
Jeep 指南者 2017款 200T 自动家享版, 2017年,4.3万公里, 到店服务, 10.77万
福特 翼虎 2015款 1.5L GTDi 两驱风尚型, 2016年,6.5万公里, 到店服务, 9.12万
奔驰C级 2018款 C 200 运动版, 2018年,1.9万公里, 到店服务, 24.45万
路虎 发现神行 2016款 2.0T 限量版, 2016年,8.1万公里, 到店服务, 18.87万
凯迪拉克ATS-L 2017款 28T 技术型, 2019年,18.0万公里, 到店服务, 19.74万
哈弗H6 2018款 红标 运动版 1.5T 自动两驱精英型, 2017年,3.9万公里, 到店服务, 7.17万
奔驰C级 2015款 改款 C 200 L 运动型, 2015年,7.6万公里, 到店服务, 20.45万
标致308 2016款 1.6L 自动时尚版, 2017年,3.5万公里, 到店服务, 7.26万
奔驰C级 2017款 C 200 L 运动版, 2017年,5.2万公里, 到店服务, 25.46万
日产 骐达 2014款 1.6L CVT智能型, 2015年,8.4万公里, 到店服务, 7.33万
日产 轩逸 2016款 经典 1.6XE 自动领先版, 2017年,8.1万公里, 到店服务, 5.81万
比亚迪 秦 2014款 1.5T 酷黑骑士旗舰型, 2015年,6.0万公里, 到店服务, 6.47万
现代 领动 2016款 1.6L 自动智炫·精英型, 2018年,1.9万公里, 到店服务, 8.08万
日产 骊威 2015款 1.6XE 手动舒适版, 2016年,6.4万公里, 到店服务, 5.01万
捷豹F-PACE 2016款 2.0T 两驱都市尊享版, 2016年,6.4万公里, 到店服务, 26.79万
日产 阳光 2015款 1.5XE 手动舒适版, 2015年,6.9万公里, 到店服务, 3.54万
五菱宏光 2019款 1.5L S标准型国VI LAR, 2019年,300公里, 店服务, 5.03万
福特 蒙迪欧 2013款 2.0L GTDi200时尚型, 2014年,9.7万公里, 到店服务, 9.29万
传祺GS8 2017款 320T 两驱豪华智联版（七座）, 2017年,2.7万公里, 到店服务, 12.79万
现代 名图 2017款 1.8L 自动智能型GLS 国V, 2017年,3.9万公里, 到店服务, 9.37万
奔驰C级 2013款 C 180 轿跑版(进口), 2015年,5.9万公里, 到店服务, 16.63万
本田 飞度 2011款 1.3L 自动舒适版, 2014年,4.7万公里, 到店服务, 5.03万
日产 轩逸 2014款 1.6XV CVT尊享版, 2015年,7.2万公里, 到店服务, 7.51万
日产 骐达 2013款 1.6L CVT酷咖版, 2014年,6.8万公里, 到店服务, 6.61万
本田 思域 2012款 1.8L 自动豪华版, 2014年,10.0万公里, 到店服务, 7.43万
三菱 欧蓝德 2018款 2.0L 两驱嘉乐版 7座, 2018年,3.0万公里, 到店服务, 13.28万
丰田 卡罗拉 2017款 改款双擎 1.8L E-CVT领先版, 2018年,5.5万公里, 到店服务, 11.43万
长城 风骏5 2017款 2.4L欧洲版汽油两驱进取型大双排4G69S4N, 2018年,1.8万公里, 到店服务, 6.70万
大众 凌渡 2017款 230TSI DSG风尚版, 2017年,5.1万公里, 到店服务, 9.30万
本田 雅阁 2016款 2.0L 精英版, 2016年,8.7万公里, 到店服务, 15.14万
北汽幻速S3L 2016款 S3L 1.5L 手动尊享型, 2017年,7.3万公里, 到店服务, 3.77万
大众 甲壳虫 2013款 1.4TSI 舒适型(进口), 2013年,4.0万公里, 到店服务, 12.09万
大众 甲壳虫 2013款 1.2TSI 舒适型(进口), 2013年,10.2万公里, 到店服务, 11.44万
日产 蓝鸟 2016款 1.6L CVT智酷版, 2016年,4.7万公里, 到店服务, 9.21万
雪佛兰 探界者 2018款 535T 自动领界版, 2017年,1.8万公里, 到店服务, 10.70万
奥迪A4L 2018款 30周年年型 40 TFSI 进取型, 2018年,1.2万公里, 到店服务, 23.68万
大众 速腾 2017款 230TSI 自动豪华型, 2017年,8.1万公里, 到店服务, 11.60万
现代 领动 2016款 1.6L 手动智炫·活力型, 2017年,4.2万公里, 到店服务, 6.90万
MINI 2011款 1.6L COOPER Fun, 2013年,7.2万公里, 到店服务, 11.16万
斯巴鲁 森林人 2018款 2.0i 时尚导航版, 2018年,3.0万公里, 到店服务, 17.56万
吉利 帝豪 2017款 三厢百万款 1.5L 手动向上版, 2017年,4.3万公里, 到店服务, 4.50万
大众 帕萨特新能源 2019款 430PHEV 混动豪华版, 2019年,0.2万公里, 到店服务, 17.95万
宝马1系 2018款 118i 运动型, 2018年,5.0万公里, 到店服务, 13.84万
别克 英朗 2017款 15N 手动进取型, 2017年,3.1万公里, 到店服务, 5.47万
别克 威朗 2019款 三厢 15S 自动进取型, 2019年,0.8万公里, 到店服务, 9.10万
马自达CX-4 2018款 2.0L 自动两驱蓝天探索版 国V, 2018年,4.5万公里, 到店服务, 11.70万
大众 凌渡 2018款 280TSI DSG舒适版, 2018年,2.3万公里, 到店服务, 12.08万
本田 歌诗图 2016款 2.4L 豪华版, 2016年,6.4万公里, 到店服务, 14.49万
丰田 雷凌 2017款 改款 185T CVT新锐版 国V, 2018年,4.7万公里, 到店服务, 8.36万
五菱宏光 2018款 1.5L S舒适型L2B, 2019年,0.3万公里, 到店服务, 4.64万
丰田 卡罗拉 2017款 改款双擎 1.8L E-CVT精英版, 2018年,1.9万公里, 到店服务, 11.85万
雷克萨斯ES 2017款 300h Mark Levinson舒适版, 2018年,2.9万公里, 到店服务, 30.03万
凯迪拉克CTS 2010款 3.0精英运动版(进口), 2012年,11.4万公里, 到店服务, 9.58万
现代 名图 2017款 1.8L 自动智能型GLS 国V, 2018年,3.0万公里, 到店服务, 9.19万
比亚迪S6 2014款 2.0L 手动豪华型 5座, 2017年,3.2万公里, 到店服务, 4.73万
大众 朗逸 2019款 280TSI DSG舒适版 国VI, 2019年,1.2万公里, 到店服务, 11.05万
奥迪Q3 2018款 30周年年型 30 TFSI 标准型, 2018年,1.0万公里, 到店服务, 16.91万
奔驰C级 2015款 C 200 L, 2015年,4.7万公里, 到店服务, 22.05万
雷克萨斯NX 2015款 200t 全驱 锋尚版, 2016年,3.0万公里, 到店服务, 26.03万
大众 桑塔纳 2015款 浩纳 1.6L 自动风尚型, 2016年,4.8万公里, 到店服务, 5.85万
奔驰GLE级 2017款 GLE 320 4MATIC 动感型(进口), 2018年,1.9万公里, 到店服务, 54.41万
猎豹CS10 2017款 1.5T CVT尊贵型, 2017年,1.1万公里, 到店服务, 6.64万
福特 福睿斯 2017款 幸福版 1.5L 自动时尚型, 2017年,5.5万公里, 到店服务, 6.31万
MINI 2014款 1.5T COOPER Fun, 2016年,2.4万公里, 到店服务, 13.77万
凯迪拉克ATS-L 2014款 25T 舒适型, 2015年,6.3万公里, 到店服务, 13.94万
众泰 大迈X7 2018款 上进版 1.8T DCT荣耀版, 2018年,3.6万公里, 到店服务, 7.24万
猎豹CS10 2017款 2.0T 自动豪华型, 2016年,5.1万公里, 到店服务, 6.12万
宝马2系 2018款 225i 敞篷轿跑车 M运动型(进口), 2019年,0.9万公里, 到店服务, 26.86万
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型, 2018年,2.2万公里, 到店服务, 22.86万
保时捷718 2016款 Cayman 2.0T, 2018年,1.7万公里, 到店服务, 51.65万
比亚迪 宋MAX 2019款 1.5T 自动智联睿动型 6座 国V, 2019年,0.3万公里, 到店服务, 8.54万
宝马1系 2017款 118i 运动型, 2017年,2.4万公里, 到店服务, 13.84万
东南DX7 2016款 1.5T 自动荣耀版, 2017年,6.2万公里, 到店服务, 5.94万
大众 高尔夫 2016款 230TSI 自动舒适型, 2016年,2.6万公里, 到店服务, 9.19万
哈弗H6 2019款 蓝标 1.5GDIT 自动豪华智联版, 2019年,0.5万公里, 到店服务, 9.66万
大众 途观L 2017款 330TSI 自动两驱风尚版, 2017年,5.0万公里, 到店服务, 16.08万
Jeep 指南者 2017款 200T 自动悦享版, 2018年,2.6万公里, 到店服务, 11.70万
别克 昂科威 2017款 28T 四驱精英型, 2017年,5.3万公里, 到店服务, 14.88万
别克GL8 2017款 ES 28T 旗舰型 国V, 2017年,11.1万公里, 到店服务, 27.26万
哈弗H2s 2017款 红标 1.5T 双离合豪华型, 2017年,4.3万公里, 到店服务, 6.57万
丰田 皇冠 2015款 2.0T 时尚版, 2016年,7.0万公里, 到店服务, 20.82万
吉利 远景X3 2018款 1.5L 自动周年版, 2018年,1.1万公里, 到店服务, 4.64万
宝马3系 2019款 320Li M运动曜夜版, 2019年,3.2万公里, 到店服务, 25.10万
宝马3系 2016款 320Li 进取型, 2016年,7.8万公里, 到店服务, 18.42万
大众POLO 2018款 1.5L 自动安驾型, 2019年,1.4万公里, 到店服务, 7.32万
丰田 锐志 2013款 2.5V 尚锐版, 2014年,11.4万公里, 到店服务, 13.35万
奔驰C级 2015款 C 200 L 4MATIC, 2015年,5.2万公里, 到店服务, 21.38万
日产 天籁 2016款 改款 2.0L XL舒适版, 2018年,3.0万公里, 到店服务, 13.02万
雪佛兰 科沃兹 2018款 320 自动欣享天窗版, 2018年,1.2万公里, 到店服务, 6.12万
日产 轩逸 2019款 1.6XV CVT智联尊享版 国V, 2020年,100公里, 店服务, 10.50万
丰田 卡罗拉 2018款 1.2T S-CVT GL智享版, 2018年,2.8万公里, 到店服务, 9.39万
本田 奥德赛 2015款 改款 2.4L 豪华版, 2017年,5.4万公里, 到店服务, 19.14万
本田 歌诗图 2012款 2.4L 豪华版, 2013年,9.2万公里, 到店服务, 11.44万
大众 朗逸 2017款 1.6L 自动风尚版, 2019年,1.4万公里, 到店服务, 8.64万
本田 凌派 2019款 180Turbo CVT豪华版 国V, 2019年,100公里, 店服务, 10.33万
吉利 博瑞 2017款 2.4L 尊雅型, 2018年,3.5万公里, 到店服务, 8.36万
宝马3系 2016款 320Li 进取型, 2016年,7.2万公里, 到店服务, 18.31万
福特 嘉年华 2009款 三厢 1.5L 自动时尚型, 2010年,12.5万公里, 到店服务, 2.89万
起亚K3 2016款 1.6L 自动GL, 2018年,2.6万公里, 到店服务, 7.33万
马自达 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V, 2018年,4.8万公里, 到店服务, 8.92万
三菱 劲炫ASX 2018款 2.0L CVT两驱尊享版, 2020年,100公里, 店服务, 10.68万
三菱 劲炫ASX 2018款 2.0L CVT两驱尊享版, 2020年,100公里, 店服务, 10.68万
奔驰C级 2011款 C 200 时尚旅行版(进口), 2012年,9.7万公里, 到店服务, 13.02万
一汽 森雅R7 2016款 1.6L 自动智能型, 2017年,1.5万公里, 到店服务, 4.65万
起亚KX5 2016款 2.0L 自动两驱Premium, 2016年,9.2万公里, 到店服务, 8.91万
日产 楼兰 2011款 3.5L CVT, 2013年,8.1万公里, 到店服务, 15.81万
东风风度 风度MX6 2015款 2.0L CVT两驱卓越版, 2016年,7.0万公里, 到店服务, 6.68万
哈弗H2 2017款 蓝标 1.5T 自动两驱豪华型, 2017年,1.6万公里, 到店服务, 6.47万
现代 名图 2016款 1.8L 自动智能型GLS, 2016年,3.0万公里, 到店服务, 8.37万
丰田 RAV4 2015款 2.0L CVT两驱风尚版, 2015年,11.4万公里, 到店服务, 11.27万
雪佛兰 科沃兹 2016款 1.5L 自动欣享版, 2017年,10.3万公里, 到店服务, 5.40万
奥迪A4L 2017款 Plus 40 TFSI 进取型, 2017年,2.8万公里, 到店服务, 20.28万
本田 凌派 2016款 1.8L CVT豪华版, 2017年,6.5万公里, 到店服务, 8.75万
菲亚特 菲翔 2017款 1.4T 自动悦享版, 2017年,9.2万公里, 到店服务, 5.38万
本田 凌派 2019款 180Turbo CVT舒适版 国V, 2019年,0.8万公里, 到店服务, 9.25万
吉利 远景 2018款 1.5L 自动幸福版, 2018年,4.9万公里, 到店服务, 4.52万
日产 奇骏 2014款 2.0L CVT舒适版 2WD, 2016年,6.0万公里, 到店服务, 12.56万
雪佛兰 科帕奇 2014款 2.4L 四驱旗舰版 7座, 2015年,7.7万公里, 到店服务, 8.35万
大众 朗逸 2017款 1.6L 自动风尚版, 2017年,6.4万公里, 到店服务, 8.37万
本田 凌派 2015款 1.8L 自动豪华版, 2016年,4.8万公里, 到店服务, 8.07万
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版, 2016年,5.1万公里, 到店服务, 5.94万
本田 缤智 2017款 1.5L CVT两驱舒适型, 2017年,2.7万公里, 到店服务, 9.67万
奔驰B级 2017款 B 200 动感型(进口), 2017年,2.0万公里, 到店服务, 18.60万
斯柯达 昕锐 2015款 1.6L 手动智选型, 2015年,5.7万公里, 到店服务, 4.51万
起亚 智跑 2015款 2.0L 自动两驱版GLS, 2016年,3.9万公里, 到店服务, 8.91万
哈弗H6 Coupe 2016款 蓝标 1.5T 自动两驱精英型, 2016年,5.8万公里, 到店服务, 6.70万
宝骏730 2016款 1.5T 手动豪华型 7座, 2016年,5.7万公里, 到店服务, 5.21万
本田 奥德赛 2009款 2.4L 豪华版, 2010年,8.8万公里, 到店服务, 9.55万
纳智捷 U5 SUV 2017款 1.6L CVT爵士版, 2017年,2.4万公里, 到店服务, 4.28万
奥迪A4L 2015款 35 TFSI 自动标准型, 2015年,12.8万公里, 到店服务, 15.35万
标致308 2012款 1.6L 自动风尚型, 2013年,7.8万公里, 到店服务, 3.99万
别克 阅朗 2018款 18T 自动精英型, 2018年,1.5万公里, 到店服务, 7.62万
丰田 卡罗拉 2014款 1.6L CVT GL-i, 2015年,6.2万公里, 到店服务, 8.33万
丰田 凯美瑞 2013款 2.0G 舒适版, 2013年,8.2万公里, 到店服务, 9.66万
福特 福睿斯 2015款 1.5L 手动舒适型, 2016年,3.1万公里, 到店服务, 4.93万
荣威e550 2016款 尊享版, 2017年,1.9万公里, 到店服务, 7.71万
奔腾X40 2017款 1.6L 手动豪华型, 2017年,7.3万公里, 到店服务, 4.99万
